"RATE";"AGG1";"AGG2";"VALUE";"INFORMATION_LOSS";"SIZE_REDUCTION"
0.000000;"0";"0";0.004630;0.000000;0.000000
0.000000;"1";"0";0.009259;0.000000;0.000000
0.000000;"2";"0";0.009259;0.000000;0.000000
0.000000;"3";"0";0.018519;0.000000;0.000000
0.000000;"4";"0";0.009259;0.000000;0.000000
0.000000;"5";"0";0.018519;0.000000;0.000000
0.000000;"6";"0";0.018519;0.000000;0.000000
0.000000;"7";"0";0.037037;0.000000;0.000000
0.000000;"0";"1";0.009259;0.000000;0.000000
0.000000;"1";"1";0.004630;0.000000;0.000000
0.000000;"2";"1";0.018519;0.000000;0.000000
0.000000;"3";"1";0.009259;0.000000;0.000000
0.000000;"4";"1";0.018519;0.000000;0.000000
0.000000;"5";"1";0.009259;0.000000;0.000000
0.000000;"6";"1";0.037037;0.000000;0.000000
0.000000;"7";"1";0.018519;0.000000;0.000000
0.000000;"0";"2";0.009259;0.000000;0.000000
0.000000;"1";"2";0.018519;0.000000;0.000000
0.000000;"2";"2";0.004630;0.000000;0.000000
0.000000;"3";"2";0.009259;0.000000;0.000000
0.000000;"4";"2";0.018519;0.000000;0.000000
0.000000;"5";"2";0.037037;0.000000;0.000000
0.000000;"6";"2";0.009259;0.000000;0.000000
0.000000;"7";"2";0.018519;0.000000;0.000000
0.000000;"0";"3";0.018519;0.000000;0.000000
0.000000;"1";"3";0.009259;0.000000;0.000000
0.000000;"2";"3";0.009259;0.000000;0.000000
0.000000;"3";"3";0.004630;0.000000;0.000000
0.000000;"4";"3";0.037037;0.000000;0.000000
0.000000;"5";"3";0.018519;0.000000;0.000000
0.000000;"6";"3";0.018519;0.000000;0.000000
0.000000;"7";"3";0.009259;0.000000;0.000000
0.000000;"0";"4";0.009259;0.000000;0.000000
0.000000;"1";"4";0.018519;0.000000;0.000000
0.000000;"2";"4";0.018519;0.000000;0.000000
0.000000;"3";"4";0.037037;0.000000;0.000000
0.000000;"4";"4";0.004630;0.000000;0.000000
0.000000;"5";"4";0.009259;0.000000;0.000000
0.000000;"6";"4";0.009259;0.000000;0.000000
0.000000;"7";"4";0.018519;0.000000;0.000000
0.000000;"0";"5";0.018519;0.000000;0.000000
0.000000;"1";"5";0.009259;0.000000;0.000000
0.000000;"2";"5";0.037037;0.000000;0.000000
0.000000;"3";"5";0.018519;0.000000;0.000000
0.000000;"4";"5";0.009259;0.000000;0.000000
0.000000;"5";"5";0.004630;0.000000;0.000000
0.000000;"6";"5";0.018519;0.000000;0.000000
0.000000;"7";"5";0.009259;0.000000;0.000000
0.000000;"0";"6";0.018519;0.000000;0.000000
0.000000;"1";"6";0.037037;0.000000;0.000000
0.000000;"2";"6";0.009259;0.000000;0.000000
0.000000;"3";"6";0.018519;0.000000;0.000000
0.000000;"4";"6";0.009259;0.000000;0.000000
0.000000;"5";"6";0.018519;0.000000;0.000000
0.000000;"6";"6";0.004630;0.000000;0.000000
0.000000;"7";"6";0.009259;0.000000;0.000000
0.000000;"0";"7";0.037037;0.000000;0.000000
0.000000;"1";"7";0.018519;0.000000;0.000000
0.000000;"2";"7";0.018519;0.000000;0.000000
0.000000;"3";"7";0.009259;0.000000;0.000000
0.000000;"4";"7";0.018519;0.000000;0.000000
0.000000;"5";"7";0.009259;0.000000;0.000000
0.000000;"6";"7";0.009259;0.000000;0.000000
0.000000;"7";"7";0.004630;0.000000;0.000000
0.000977;"1";"1";0.004630;0.000000;0.000000
0.000977;"0,3,5";"1";0.027778;0.000000;0.031746
0.000977;"6";"1";0.037037;0.000000;0.000000
0.000977;"2,4,7";"1";0.055556;0.000000;0.031746
0.000977;"2";"2";0.004630;0.000000;0.000000
0.000977;"5";"2";0.037037;0.000000;0.000000
0.000977;"0,3,6";"2";0.027778;0.000000;0.031746
0.000977;"1,4,7";"2";0.055556;0.000000;0.031746
0.000977;"3";"3";0.004630;0.000000;0.000000
0.000977;"4";"3";0.037037;0.000000;0.000000
0.000977;"0,5,6";"3";0.055556;0.000000;0.031746
0.000977;"1,2,7";"3";0.027778;0.000000;0.031746
0.000977;"3";"4";0.037037;0.000000;0.000000
0.000977;"4";"4";0.004630;0.000000;0.000000
0.000977;"0,5,6";"4";0.027778;0.000000;0.031746
0.000977;"1,2,7";"4";0.055556;0.000000;0.031746
0.000977;"0";"0";0.004630;0.000000;0.000000
0.000977;"1,2,4";"0";0.027778;0.000000;0.031746
0.000977;"3,5,6";"0";0.055556;0.000000;0.031746
0.000977;"7";"0";0.037037;0.000000;0.000000
0.000977;"2";"5";0.037037;0.000000;0.000000
0.000977;"5";"5";0.004630;0.000000;0.000000
0.000977;"0,3,6";"5";0.055556;0.000000;0.031746
0.000977;"1,4,7";"5";0.027778;0.000000;0.031746
0.000977;"1";"6";0.037037;0.000000;0.000000
0.000977;"0,3,5";"6";0.055556;0.000000;0.031746
0.000977;"6";"6";0.004630;0.000000;0.000000
0.000977;"2,4,7";"6";0.027778;0.000000;0.031746
0.000977;"0";"7";0.037037;0.000000;0.000000
0.000977;"1,2,4";"7";0.055556;0.000000;0.031746
0.000977;"3,5,6";"7";0.027778;0.000000;0.031746
0.000977;"7";"7";0.004630;0.000000;0.000000
0.289062;"2";"2";0.004630;0.000000;0.000000
0.289062;"5";"2";0.037037;0.000000;0.000000
0.289062;"0,3,6";"2";0.027778;0.000000;0.031746
0.289062;"1,4,7";"2";0.055556;0.000000;0.031746
0.289062;"3";"4";0.037037;0.000000;0.000000
0.289062;"4";"4";0.004630;0.000000;0.000000
0.289062;"0,5,6";"4";0.027778;0.000000;0.031746
0.289062;"1,2,7";"4";0.055556;0.000000;0.031746
0.289062;"1";"0,3,5";0.027778;0.000000;0.031746
0.289062;"1";"6";0.037037;0.000000;0.000000
0.289062;"2";"5";0.037037;0.000000;0.000000
0.289062;"2";"0,3,6";0.027778;0.000000;0.031746
0.289062;"3";"3";0.004630;0.000000;0.000000
0.289062;"3";"0,5,6";0.055556;0.000000;0.031746
0.289062;"4";"3";0.037037;0.000000;0.000000
0.289062;"4";"0,5,6";0.027778;0.000000;0.031746
0.289062;"0";"0";0.004630;0.000000;0.000000
0.289062;"0";"3,5,6";0.055556;0.000000;0.031746
0.289062;"5";"5";0.004630;0.000000;0.000000
0.289062;"5";"0,3,6";0.055556;0.000000;0.031746
0.289062;"6";"0,3,5";0.055556;0.000000;0.031746
0.289062;"6";"6";0.004630;0.000000;0.000000
0.289062;"7";"0";0.037037;0.000000;0.000000
0.289062;"7";"3,5,6";0.027778;0.000000;0.031746
0.289062;"1";"1";0.004630;0.000000;0.000000
0.289062;"0,3,5";"1";0.027778;0.000000;0.031746
0.289062;"6";"1";0.037037;0.000000;0.000000
0.289062;"2,4,7";"1";0.055556;0.000000;0.031746
0.289062;"0";"7";0.037037;0.000000;0.000000
0.289062;"1,2,4";"7";0.055556;0.000000;0.031746
0.289062;"3,5,6";"7";0.027778;0.000000;0.031746
0.289062;"7";"7";0.004630;0.000000;0.000000
0.290039;"6";"0,3,5";0.055556;0.000000;0.031746
0.290039;"6";"6";0.004630;0.000000;0.000000
0.290039;"3";"3";0.004630;0.000000;0.000000
0.290039;"3";"0,5,6";0.055556;0.000000;0.031746
0.290039;"0";"0";0.004630;0.000000;0.000000
0.290039;"0";"3,5,6";0.055556;0.000000;0.031746
0.290039;"1";"0,3,5";0.027778;0.000000;0.031746
0.290039;"1";"6";0.037037;0.000000;0.000000
0.290039;"2";"5";0.037037;0.000000;0.000000
0.290039;"2";"0,3,6";0.027778;0.000000;0.031746
0.290039;"4";"3";0.037037;0.000000;0.000000
0.290039;"4";"0,5,6";0.027778;0.000000;0.031746
0.290039;"5";"5";0.004630;0.000000;0.000000
0.290039;"5";"0,3,6";0.055556;0.000000;0.031746
0.290039;"7";"0";0.037037;0.000000;0.000000
0.290039;"7";"3,5,6";0.027778;0.000000;0.031746
0.290039;"4";"4";0.004630;0.000000;0.000000
0.290039;"4";"1,2,7";0.055556;0.000000;0.031746
0.290039;"2";"2";0.004630;0.000000;0.000000
0.290039;"2";"1,4,7";0.055556;0.000000;0.031746
0.290039;"1";"1";0.004630;0.000000;0.000000
0.290039;"1";"2,4,7";0.055556;0.000000;0.031746
0.290039;"0";"1,2,4";0.027778;0.000000;0.031746
0.290039;"0";"7";0.037037;0.000000;0.000000
0.290039;"3";"4";0.037037;0.000000;0.000000
0.290039;"3";"1,2,7";0.027778;0.000000;0.031746
0.290039;"5";"2";0.037037;0.000000;0.000000
0.290039;"5";"1,4,7";0.027778;0.000000;0.031746
0.290039;"6";"1";0.037037;0.000000;0.000000
0.290039;"6";"2,4,7";0.027778;0.000000;0.031746
0.290039;"7";"1,2,4";0.055556;0.000000;0.031746
0.290039;"7";"7";0.004630;0.000000;0.000000
0.293945;"0,1,3,5";"1";0.032407;0.006583;0.047619
0.293945;"6";"1";0.037037;0.000000;0.000000
0.293945;"2,4,7";"1";0.055556;0.000000;0.031746
0.293945;"5";"2";0.037037;0.000000;0.000000
0.293945;"0,2,3,6";"2";0.032407;0.006583;0.047619
0.293945;"1,4,7";"2";0.055556;0.000000;0.031746
0.293945;"4";"3";0.037037;0.000000;0.000000
0.293945;"0,5,6";"3";0.055556;0.000000;0.031746
0.293945;"1,2,3,7";"3";0.032407;0.006583;0.047619
0.293945;"3";"4";0.037037;0.000000;0.000000
0.293945;"0,4,5,6";"4";0.032407;0.006583;0.047619
0.293945;"1,2,7";"4";0.055556;0.000000;0.031746
0.293945;"0,1,2,4";"0";0.032407;0.006583;0.047619
0.293945;"3,5,6";"0";0.055556;0.000000;0.031746
0.293945;"7";"0";0.037037;0.000000;0.000000
0.293945;"2";"5";0.037037;0.000000;0.000000
0.293945;"0,3,6";"5";0.055556;0.000000;0.031746
0.293945;"1,4,5,7";"5";0.032407;0.006583;0.047619
0.293945;"1";"6";0.037037;0.000000;0.000000
0.293945;"0,3,5";"6";0.055556;0.000000;0.031746
0.293945;"2,4,6,7";"6";0.032407;0.006583;0.047619
0.293945;"0";"7";0.037037;0.000000;0.000000
0.293945;"1,2,4";"7";0.055556;0.000000;0.031746
0.293945;"3,5,6,7";"7";0.032407;0.006583;0.047619
0.510742;"2,6";"1,5";0.111111;0.037037;0.047619
0.510742;"2,6";"2,6";0.027778;0.009259;0.047619
0.510742;"1,5";"1,5";0.027778;0.009259;0.047619
0.510742;"1,5";"2,6";0.111111;0.037037;0.047619
0.510742;"0,3";"1,2";0.037037;0.000000;0.047619
0.510742;"4,7";"1,2";0.074074;0.000000;0.047619
0.510742;"0,3";"5,6";0.074074;0.000000;0.047619
0.510742;"4,7";"5,6";0.037037;0.000000;0.047619
0.510742;"0,4";"0,4";0.027778;0.009259;0.047619
0.510742;"0,4";"3,7";0.111111;0.037037;0.047619
0.510742;"1,2";"0,3";0.037037;0.000000;0.047619
0.510742;"5,6";"0,3";0.074074;0.000000;0.047619
0.510742;"1,2";"4,7";0.074074;0.000000;0.047619
0.510742;"5,6";"4,7";0.037037;0.000000;0.047619
0.510742;"3,7";"0,4";0.111111;0.037037;0.047619
0.510742;"3,7";"3,7";0.027778;0.009259;0.047619
0.609375;"1,5";"1,5";0.027778;0.009259;0.047619
0.609375;"2,6";"1,5";0.111111;0.037037;0.047619
0.609375;"1,5";"2,6";0.111111;0.037037;0.047619
0.609375;"2,6";"2,6";0.027778;0.009259;0.047619
0.609375;"0,3,4,7";"1,2,5,6";0.222222;0.074074;0.238095
0.609375;"0,4";"0,4";0.027778;0.009259;0.047619
0.609375;"0,4";"3,7";0.111111;0.037037;0.047619
0.609375;"1,2,5,6";"0,3,4,7";0.222222;0.074074;0.238095
0.609375;"3,7";"0,4";0.111111;0.037037;0.047619
0.609375;"3,7";"3,7";0.027778;0.009259;0.047619
0.778320;"0,2,4,6";"0,2,4,6";0.166667;0.111111;0.238095
0.778320;"1,3,5,7";"0,2,4,6";0.333333;0.222222;0.238095
0.778320;"0,2,4,6";"1,3,5,7";0.333333;0.222222;0.238095
0.778320;"1,3,5,7";"1,3,5,7";0.166667;0.111111;0.238095
0.875000;"0,1,2,3,4,5,6,7";"0,1,2,3,4,5,6,7";1.000000;1.000000;1.000000
